source_type,index,datetime_kst,timestamp,uri,likes,comments,shares,saves,interactions,reach,impressions,profile_visits,follows,views,engagement_per_reach,save_rate_per_reach,share_rate_per_reach,caption_word_count,hashtag_count,hashtags,avg_watch_rate_raw,non_follower_reach_raw,length_raw,caption
post,1,2020-03-24 20:38:37,1585049917,media/other/18134913652026540.jpg,169,4,0,2,175,255,365,0,0,,0.6863,0.0078,0.0,37,14,#boyschoir #mkc #knabenchor #chor #choir #chorus #accapella #vocal #muenchnerknabenchor #소년합창단 #boysoprano #choral #canada🇨🇦 #konzert,,,,"I will introduce what happened in Canada tour. The barbecue, swimming, Niagara and neo-gothic cathedral...etc
Look forward to the next upload.

#boyschoir #mkc #knabenchor #chor #choir #chorus #accapella #vocal #muenchnerknabenchor #소년합창단 #boysoprano #choral #canada🇨🇦 #konzert"
post,2,2020-03-22 00:54:17,1584806057,media/other/17858109604820638.jpg,135,0,0,4,139,197,247,0,0,,0.7056,0.0203,0.0,32,15,#covid19 #boyschoir #mkc #knabenchor #chor #choir #chorus #accapella #vocal #muenchnerknabenchor #소년합창단 #boysoprano #choral #georgia #konzert,,,,"La répétition avec Georgia Boy Choir. J'espère que #covid19 prendra bientôt fin dans notre pays d'amis.

#boyschoir #mkc #knabenchor #chor #choir #chorus #accapella #vocal #muenchnerknabenchor #소년합창단 #boysoprano #choral #georgia #konzert"
post,3,2020-03-17 19:53:42,1584442422,media/other/17865527596699993.jpg,166,7,0,4,177,158,191,1,0,,1.1203,0.0253,0.0,41,13,#covid19 #boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #georgia,,,,"First stepped on the America, atlanta.

I hope the corona virus will alleviate as soon as possible and meet Georgia Boy Choir again in Munich!

Stay safe against #covid19

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #georgia"
post,4,2020-03-14 01:06:59,1584115619,media/other/17866528960676715.jpg,129,1,0,2,132,145,185,0,0,,0.9103,0.0138,0.0,51,14,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen,,,,"Matthew Passion's Cast Information.

Soprano: Sibylla Rubens.

Alto: Marie Henriette Reinhold.

Tenor: Bernhard Berchtold(Evangelist), Mirko Ludwig(Arien)

Bass: Ludwig Mittelhammer(Christus), Markus Eiche(Arien)

Münchener Bach-Chor
Münchener Bach-Orchester
Münchner Knabenchor

Hansjörg Albrecht, Leitung

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen"
post,5,2020-03-10 18:48:29,1583833709,media/other/17844066329033617.jpg,165,0,0,6,171,126,170,2,0,,1.3571,0.0476,0.0,76,14,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen,,,,"Even today, no piece of music history fascinates listeners and performers like Johann Sebastian Bach's Matthäus fashion. The annual performance at the Philharmonic has already been a solid tradition in Munich's concert life for years. Whether it's the last day of the sacrament or deep emotion, it's a wonderful experience to celebrate Easter with the passion of Matthusus.

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen"
post,6,2020-03-07 00:51:18,1583509878,media/other/17851418587894041.jpg,165,4,0,4,173,126,165,0,0,,1.373,0.0317,0.0,37,14,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen,,,,"Spring show schedule,

@muenchner__knabenchor will have a concert with the Munich Philharmonic. On April 10, Matthew Passion...On Saturday the 18th, Carmina Burana.

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #matthewpassion #carminaburana #philharmoniemünchen"
post,7,2020-03-03 00:16:53,1583162213,media/other/17866515190659147.jpg,180,7,0,6,193,192,242,1,2,,1.0052,0.0312,0.0,25,14,#magic #flute #boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #omantour,,,,"Dean, David, Magnus rehearsing at the Royal Opera House Muscat
The #Magic #Flute

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #omantour"
post,8,2020-02-29 23:37:59,1582987079,media/other/17864434120689213.jpg,184,2,0,6,192,197,258,2,0,,0.9746,0.0305,0.0,22,14,#magic #flute #boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #omantour,,,,"On the way to Oman.
David, Dean, Magnus
#Magic #Flute

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #omantour"
post,9,2020-02-28 00:15:51,1582816551,media/other/17856841198805439.jpg,184,4,0,5,193,102,127,2,0,,1.8922,0.049,0.0,26,12,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #chinatour,,,,"In the famous market street, China is famous for tea. Perfect as a gift.

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #boysoprano #choral #chinatour"
post,10,2020-02-24 00:30:41,1582471841,media/other/17847377581899632.jpg,173,4,0,2,179,77,94,0,0,,2.3247,0.026,0.0,101,11,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #cocacola #themepark,,,,"📸Photo: @promax_8

Did you know that Coca-Cola World is only in Atlanta? If you come here, you can see the history of Coke, who is 130 years old.

When you first enter, you can taste Coca-Cola Original, Zero, Diet, and New Coke. Q1. Why New Cork disappeared? The answer is... you all know, right?

Next, we were able to take pictures with giant polybear and meet Coca-Cola products from around the world.
There are over 500 drinks.

And of course the last one was a souvenir shop.

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단 #cocacola #themepark"
post,11,2020-02-22 16:42:50,1582357370,media/other/18093775903092472.jpg,213,4,0,7,224,179,253,6,1,,1.2514,0.0391,0.0,28,9,#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단,,,,"@muenchner__knabenchor was invited by the @georgiaboychoir and had its first stage in the United States.

The upload continues...(1)

#boyschoir #mkc #knabenchor #chor #domspatzen #chorus #accapella #muenchnerknabenchor #소년합창단"
post,12,2018-11-16 18:58:08,1542362288,media/other/17909764555253284.jpg,275,1,0,0,276,64,77,0,0,,4.3125,0.0,0.0,18,1,#어느쪽,,,,"아름다운 곳을 꿈꾸며, 사는 것에 만족하거나
.
나의 공간을 그곳과 닮게 하려 노력하거나
.
중도를 지나는 경계면에서 서성일 뿐

#어느쪽"
post,13,2018-11-13 12:33:37,1542080017,media/other/17982955669118486.jpg,280,1,0,2,283,122,184,11,0,,2.3197,0.0164,0.0,12,8,#흐릿한 #초점 #멍텅구리 #눈빛 #근데이거공연중인데 #집중하고있는거맞지 #끝나고뭐먹을지 #고민하나,,,,"점심시간에 강의 듣는 눈빛...
.
.
#흐릿한#초점#멍텅구리#눈빛#근데이거공연중인데#집중하고있는거맞지?#끝나고뭐먹을지#고민하나"
