hashtag,popularity,category,recent_post_count,popular_sample_count,avg_likes,avg_comments,source_seed,collected_at
israel’s,238.0,meta_live_related,1,,200.0,12.0,germany,2026-05-06 12:44:38
puericantores,166.0,meta_live_related,1,,164.0,0.0,kinderchor,2026-05-06 12:44:38
dommusik,166.0,meta_live_related,1,,164.0,0.0,kinderchor,2026-05-06 12:44:38
eichstätt,166.0,meta_live_related,1,,164.0,0.0,kinderchor,2026-05-06 12:44:38
tvn,156.0,meta_live_related,1,,124.0,10.0,합창단,2026-05-06 12:44:38
다국적,156.0,meta_live_related,1,,124.0,10.0,합창단,2026-05-06 12:44:38
ensembleperformance,125.0,meta_live_related,1,,111.0,4.0,choralmusic,2026-05-06 12:44:38
rehearsaltechnique,125.0,meta_live_related,1,,111.0,4.0,choralmusic,2026-05-06 12:44:38
sheetmusic,124.0,meta_live_related,2,,108.0,4.0,"choir,choralmusic",2026-05-06 12:44:38
laurafarnell,124.0,meta_live_related,2,,108.0,4.0,"choir,choralmusic",2026-05-06 12:44:38
concertrep,124.0,meta_live_related,2,,108.0,4.0,"choir,choralmusic",2026-05-06 12:44:38
choralmusic,122.0,meta_live_related,1,,108.0,4.0,choir,2026-05-06 12:44:38
fun,118.0,meta_live_related,2,,105.0,3.0,"choir,chor",2026-05-06 12:44:38
new,104.0,meta_live_related,1,,81.0,7.0,chor,2026-05-06 12:44:38
앙상블,93.0,meta_live_related,3,,70.0,5.67,합창단,2026-05-06 12:44:38
bamberg,87.5,meta_live_related,2,,82.0,0.5,"germany,kinderchor",2026-05-06 12:44:38
choirdirector,75.5,meta_live_related,2,,62.5,3.0,choralmusic,2026-05-06 12:44:38
추억,73.0,meta_live_related,1,,62.0,3.0,합창단,2026-05-06 12:44:38
아이들,73.0,meta_live_related,1,,62.0,3.0,합창단,2026-05-06 12:44:38
망월사,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
다락능선,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
내년공룡능선까지전진,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
합창단산악회,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
심원사,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
봄산행,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
6월에는설악산대청봉,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
원도봉계곡,68.0,meta_live_related,1,,60.0,2.0,합창단,2026-05-06 12:44:38
